mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022040659,12.1,8,77.62,19.13,2
2022040640,13.2,13,101.92,9.53,2
2022040632,12.9,18,93.66,8.75,2
2022040626,8,6,103.86,14.6,2
2022040619,6,8,80.12,6.22,2
2022040615,16,14,107.34,8.87,2
2022040586,8.9,7,94.07,8.95,2
2022040579,14.2,8,105.34,15.05,2
2022040564,8.6,7,99.08,8.77,2
2022040561,12.8,9,99.72,17.02,2
2022040560,4.7,3,68.25,2.58,2
2022040550,10.9,9,99.41,16.48,2
2022040544,15.9,11,84.67,17.05,2
2022040534,15.6,17,96.59,15.25,2
2022040530,6.1,4,81.43,4.53,2
2022040523,9.1,6,104.26,14.45,2
2022040513,16.6,17,95.15,8.35,2
2022040512,11.5,8,86.32,16.92,2
2022040502,9.5,7,105.61,20.77,2
2022040492,9.6,7,98.96,9.68,2
2022040483,16.1,10,101.61,15.77,2
2022040482,8.5,8,103.33,13.88,2
2022040446,10.4,10,108.99,12.9,2
2022040443,7.9,6,110.44,12.08,2
2022040435,14.8,9,110.98,9.32,2
2022040432,16.3,13,116.97,12.82,2
2022040430,11.6,8,98.32,11.2,2
2022040411,11,7,77.02,20.5,2
2022040391,4.6,8,50.01,7.18,2
2022040385,13.3,10,78.99,18.1,2
2022040374,15.9,11,88.72,14.65,2
2022040369,3.4,2,79.36,5.77,2
2022040339,16.8,15,91.59,12.32,2
2022040310,15.8,13,91.37,16.2,2
2022040308,11.7,9,95.99,13.67,2
2022040301,16.5,17,102.74,11.62,2
2022040297,14.3,10,84.98,11.15,2
2022040274,16.1,15,113.96,16.85,2
2022040249,9.8,10,100.8,20.82,2
2022040215,20.7,13,106.36,12.57,2
2022040196,7.8,6,94.83,16.95,2
2022040189,15.1,10,91.39,10.52,2
2022040176,15.6,12,42.73,11.4,2
2022040160,2.3,1,96.19,2.58,2
2022040145,5.4,3,96.42,4.63,2
2022040137,11.3,11,46.06,16.83,2
2022040127,11.2,13,99.35,12.37,2
2022040126,7.9,9,92.61,16.52,2
2022040113,15.9,11,97.82,17.18,2
2022040087,15.3,11,76.75,7.92,2
2022040079,17.7,17,95.2,13.25,2
2022040073,10.6,12,95.84,21.45,2
2022040065,10.8,11,90.36,13.17,2
2022040051,8.7,7,105.44,18.6,2
2022040033,11.2,7,100.2,8.7,2
2022040025,3.8,7,99.09,7.63,2
2022031797,10.8,6,103,14.18,2
2022031794,11.4,11,98.44,13.77,2
2022031763,10.2,8,87.47,19.62,2
2022031744,12.8,9,85.73,18.15,2
2022031736,11.9,9,105.91,11.65,2
2022031732,12.1,8,88.75,11.58,2
2022031729,18.1,15,107.37,11.17,2
2022031723,13.3,12,110.85,14.25,2
2022031720,16.6,17,55.16,14.13,2
2022031714,5,6,100.26,7.98,2
2022031712,7.1,4,87.58,12.72,2
2022031705,13.2,10,75.18,12.37,2
2022031698,7.9,6,106.85,10.63,2
2022031697,7.7,6,107.57,14.13,2
2022031696,11.5,9,106.31,11.87,2
2022031656,7.8,6,89.06,13.07,2
2022031648,8.8,8,102.5,11.95,2
2022031625,12.2,13,98.11,13,2
2022031619,11.2,7,100.15,18.63,2
2022031613,8,4,107.53,13.32,2
2022031545,10.3,19,108.27,20.63,2
2022031498,7,8,86.72,6.6,2
2022031475,11.5,9,66.65,8.18,2
2022031465,13.1,9,87.58,14.77,2
2022031461,11,17,107.43,17.6,2
2022031460,8.4,6,100.32,13.37,2
2022031408,11.9,18,105.9,14.13,2
2022031407,5.5,4,84.77,3.8,2
2022031403,19.6,21,95.47,10.9,2
2022031397,13.6,10,103.3,17.33,2
2022031395,14.4,9,102.03,13.42,2
2022031394,10.9,10,97.79,15.97,2
2022031390,13.2,10,109.06,17.17,2
